,title,year,kind,genre,rating,vote,country,language,director,runtime
1518,The Iron Ladies,2000.0,0,4,1,0.0005629381962095495,9,0,3655,0.06983930778739184
1519,The Shrimp on the Barbie,1990.0,0,4,2,0.0005097311949805083,9,2,2379,0.05995055624227441
1520,Music for Montserrat,1997.0,0,6,4,4.752075682288405e-05,7,2,1845,0.06118665018541409
1521,"Spider Baby or, the Maddest Story Ever Told",1967.0,0,4,1,0.002656288458304801,8,2,1416,0.03584672435105068
1522,You're Invited to Mary-Kate & Ashley's School Dance Party,2000.0,0,10,2,7.71704597978459e-05,8,2,3284,0.22126081582200247
1523,Shakespeare-Wallah,1965.0,0,7,1,0.0002952785488054419,8,0,1456,0.06983930778739184
1526,Off the Menu: The Last Days of Chasen's,1997.0,0,6,1,0.00011088176592006278,8,2,3157,0.03584672435105068
1527,Soft Hearts,1998.0,0,4,1,3.046202360441285e-05,9,0,1650,0.06674907292954263
1528,The Satanic Rites of Dracula,1973.0,0,8,2,0.0023143014733059256,7,0,73,0.054388133498145856
1530,Time Bandits,1981.0,0,1,1,0.02481964451224614,7,2,3386,0.05624227441285537
1532,Map of the Human Heart,1992.0,0,1,1,0.001289965159568203,9,2,3550,0.05871446229913473
1533,Radio Bikini,1988.0,1,6,1,0.00025019475387091087,8,0,2980,0.03584672435105068
1534,Turn A Gundam: Movie II: Moonlight Butterfly,2002.0,0,2,2,8.935526923961103e-06,6,4,2567,0.054388133498145856
1535,The Legend of Drunken Master,1994.0,0,0,1,0.018068041600564078,3,0,537,0.06427688504326327
1538,Demons 2,1986.0,0,8,2,0.004013676230117437,5,0,2025,0.054388133498145856
1539,24 Hour Party People,2002.0,0,3,1,0.014595777069975738,7,2,2428,0.06365883807169344
1540,U2's Beautiful Day,2002.0,0,6,4,0.0005068880727774299,9,2,1276,0.08529048207663781
1543,In the Face of Evil: Reagan's War in Word and Deed,2004.0,0,6,2,0.00012631585787963197,8,2,3259,0.05129789864029666
1545,The Incredible Mrs. Ritchie,2003.0,0,7,1,0.0002327298603377142,0,2,2643,0.03399258343634116
1547,Twin Dragons,1992.0,0,0,1,0.004635101511647459,3,0,2910,0.0630407911001236
1548,Vivre Sa Vie,1962.0,0,7,1,0.012161658303825788,1,0,1514,0.06736711990111247
1550,In This World,2002.0,0,7,1,0.0017107472456238258,7,0,2428,0.028430160692212606
1551,9½ Weeks,1986.0,0,7,2,0.015984845346336964,8,0,47,0.034610630407911
1555,Beautiful Thing,1996.0,0,4,1,0.009541111953216832,7,2,1317,0.0741656365883807
1556,The Scourge of Worlds: A Dungeons & Dragons Adventure,2003.0,0,0,1,0.00010682016277280773,0,2,686,0.08220024721878862
1557,Arakimentari,2004.0,0,6,1,0.00014337459109810315,8,0,3497,0.05995055624227441
1559,Labyrinth of Flames,2000.0,0,2,1,4.183451241672698e-05,6,4,1895,0.030902348578491966
1562,A Talking Picture,2003.0,0,4,1,0.0008046035834712248,9,0,2172,0.05871446229913473
1564,Cowboys & Angels,2003.0,0,4,1,0.0010263671153113503,9,2,757,0.052533992583436336
1565,The Captives,2001.0,0,7,0,0.0003736674895474643,8,2,995,0.02657601977750309
1567,Starship Troopers 2: Hero of the Federation,2004.0,0,0,0,0.009193032563497074,8,2,2757,0.07045735475896167
1568,Come and See,1985.0,0,7,4,0.027549041827201533,9,0,959,0.05933250927070457
1569,"Hush...Hush, Sweet Charlotte",1964.0,0,5,1,0.005603387701953062,8,2,2931,0.027194066749072928
1570,Scooby-Doo and the Monster of Mexico,2003.0,0,2,1,0.001517821096129211,8,2,3125,0.06118665018541409
1571,Aftermath: The Remnants of War,2001.0,0,6,4,2.3151137939353766e-05,0,2,703,0.04511742892459827
1572,Cop & ½,1993.0,0,4,2,0.003490947905065713,8,2,1311,0.030902348578491966
1573,The Worst Horror Movie Ever Made,2005.0,0,4,0,0.00014378075141282867,8,2,334,0.013597033374536464
